Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
192.168.137.48-192.168.137.250-51942-1883-6,192.168.137.48,51942,192.168.137.250,1883,6,29/08/2023 02:30:00 PM,248635,13,6,11492.0,0.0,1448.0,218.0,884.0,515.3421193731403,0.0,0.0,0.0,0.0,46220.36318297907,76.41723812013595,13813.055555555557,13390.04928371294,49284.0,0.0,248635.0,20719.58333333333,19598.984896989543,49284.0,0.0,147707.0,29541.4,17997.521559925968,48411.0,0.0,1,0,0,0,416,192,52.28547871377722,24.13175940635872,0.0,1448.0,615.1000000000001,581.9657161180907,338684.09473684203,0,0,0,11,19,0,0,0,0.0,647.4736842105264,884.0,0.0,0,0,0,11492,13,46220,0,0,0,0,502,759,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-52280-1883-6,192.168.137.48,52280,192.168.137.250,1883,6,29/08/2023 02:30:00 PM,148821,8,1,2616.0,0.0,763.0,0.0,327.00000000000006,218.0,0.0,0.0,0.0,0.0,17578.164371963634,60.47533614207672,18602.625,13432.048997374046,42712.0,1631.0,148821.0,21260.14285714286,14584.083486556745,42712.0,1631.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,256,32,53.75585434851264,6.71948179356408,0.0,763.0,261.6,236.58552599664907,55972.71111111111,0,0,0,7,9,0,0,0,0.0,290.6666666666667,327.0,0.0,0,0,0,2616,7,18465,0,0,0,0,1155,1155,7,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51944-1883-6,192.168.137.48,51944,192.168.137.250,1883,6,29/08/2023 02:30:00 PM,159073,6,3,1635.0,0.0,436.0,109.0,272.5,133.49719098168322,0.0,0.0,0.0,0.0,10278.299900045891,56.57779761493151,19884.125,14644.024060907184,46354.0,6004.0,159073.0,31814.6,15209.92842849696,46354.0,6004.0,38259.0,19129.5,15984.148788721906,30432.0,7827.0,1,0,0,0,192,96,37.71853174328768,18.85926587164384,0.0,436.0,174.4,164.10443829057965,26930.266666666663,0,0,0,6,9,0,0,0,0.0,193.77777777777777,272.5,0.0,0,0,0,1635,6,10278,0,0,0,0,502,666,5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51624-1883-6,192.168.137.48,51624,192.168.137.250,1883,6,29/08/2023 02:28:00 PM,119817571,4193,3647,1360435.0,6.0,1448.0,0.0,324.4538516575252,312.99248495672134,2.0,0.0,0.00164518782561,0.0573460611346537,11354.269567023688,65.43280701292133,15284.803036101512,44822.6676210286,2479825.0,0.0,119817571.0,28582.435830152623,63907.22922321454,2501738.0,0.0,119683130.0,32825.87218869999,68043.86011173985,2501561.0,0.0,1,0,0,0,134176,116728,34.99486732208918,30.43793969083216,0.0,1448.0,173.5174084938142,280.30538327341986,78571.1078920588,0,0,0,4082,7840,0,0,0,0.0,173.53954081632654,324.45385165752447,0.00164518782561,0,0,0,340110,1048,11828,1397,453478,1215,2,502,1155,4189,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51792-1883-6,192.168.137.48,51792,192.168.137.250,1883,6,29/08/2023 02:30:00 PM,82086,4,0,2398.0,0.0,981.0,109.0,599.5,361.51210214873856,0.0,0.0,0.0,0.0,29213.26413761177,48.72938138050337,27362.0,41607.39030508883,75406.0,3266.0,82086.0,27362.0,41607.39030508883,75406.0,3266.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,128,0,48.72938138050337,0.0,109.0,981.0,610.4,314.02595434135696,98612.3,0,0,0,4,4,0,0,0,0.0,763.0,599.5,0.0,0,0,0,2398,4,29213,0,0,0,0,502,0,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-52248-1883-6,192.168.137.48,52248,192.168.137.250,1883,6,29/08/2023 02:28:00 PM,119897541,4381,3715,1594849.0,8.0,1448.0,0.0,364.0376626341016,354.1438472752806,2.0,0.0,0.0021534320323014,0.0656001918901224,13301.83243708059,67.5243206197198,14811.308338480476,41116.35017324455,2484615.0,0.0,119897541.0,27373.86780821915,58618.40899986823,2506515.0,0.0,119773125.0,32249.09127625197,62860.66071857054,2504990.0,0.0,1,0,0,0,140192,118892,36.53953169898622,30.98478892073358,0.0,1448.0,196.98233913795227,317.4260192967698,100759.2777265933,0,0,0,4206,8096,0,0,0,0.0,197.0066699604743,364.0376626341018,0.0021534320323014,0,0,0,797428,2192,13585,4381,1594849,3715,8,502,1633,4379,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51626-1883-6,192.168.137.48,51626,192.168.137.250,1883,6,29/08/2023 02:28:01 PM,119335152,4462,3816,1509874.0,6.0,1448.0,0.0,338.3850291349161,350.29989858179044,2.0,0.0,0.0015723270440251,0.056062514343174,12652.432872419688,69.36765790519127,14417.6817687568,32788.45758338833,1194073.0,0.0,119335152.0,26750.762609280388,48166.04914964495,1216071.0,0.0,119167229.0,31236.49515072086,51348.63426854501,1218397.0,0.0,1,0,0,0,142784,122112,37.39049161306637,31.97716629212489,0.0,1448.0,182.387848774006,307.5392360147271,94580.38168852204,0,0,0,4291,8278,0,0,0,0.0,182.4098816139164,338.3850291349171,0.0015723270440251,0,0,0,754940,2232,12782,4462,1509874,3816,6,502,1120,4460,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
10.0.0.11-10.0.0.254-44971-1883-6,10.0.0.11,44971,10.0.0.254,1883,6,29/08/2023 02:28:59 PM,60004658,5,4,17.0,4.0,13.0,0.0,3.4,5.458937625582473,2.0,0.0,1.0,1.1547005383792517,0.3499728304425966,0.14998835590397,7500582.25,20795343.26396349,58959286.0,11.0,60004658.0,15001164.5,29338646.18544969,59003505.0,1451.0,60002277.0,20000759.0,33743093.51495774,58959297.0,1300.0,1,0,0,0,160,128,0.0833268643910944,0.0666614915128755,0.0,13.0,2.3,3.8887301554906353,15.122222222222222,0,0,0,5,9,0,0,0,0.0,2.555555555555556,3.4,1.0,0,0,0,0,0,0,5,17,4,4,502,509,2,32,1043921.0,0.0,1043921.0,1043921.0,58959286.0,0.0,58959286.0,58959286.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51812-1883-6,192.168.137.48,51812,192.168.137.250,1883,6,29/08/2023 02:30:00 PM,228734,11,6,4687.0,0.0,654.0,0.0,426.0909090909091,225.78815493530857,0.0,0.0,0.0,0.0,20491.05074016106,74.32213837907788,14295.875,13883.555711104174,59907.0,414.0,228734.0,22873.4,15568.808183886997,59907.0,8322.0,111233.0,22246.6,12335.679442170993,38494.0,9041.0,0,0,0,0,352,192,48.09079542175628,26.231342957321605,0.0,654.0,260.3888888888889,275.0880370073827,75673.42810457514,0,0,0,10,17,0,0,0,0.0,275.7058823529412,426.09090909090907,0.0,0,0,0,4687,10,21331,0,0,0,0,2741,2741,10,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51946-1883-6,192.168.137.48,51946,192.168.137.250,1883,6,29/08/2023 02:30:00 PM,241850,12,6,5014.0,0.0,654.0,0.0,417.8333333333333,217.1726725372456,0.0,0.0,0.0,0.0,20731.858590035143,74.42629729170973,14226.470588235296,16077.762951191497,68518.0,148.0,241850.0,21986.36363636364,19558.01403656684,68518.0,148.0,106746.0,21349.2,9945.700664106073,36985.0,9355.0,0,0,0,0,384,192,49.61753152780649,24.80876576390325,0.0,654.0,263.8947368421052,267.7739292630678,71702.87719298246,0,0,0,11,18,0,0,0,0.0,278.55555555555554,417.8333333333333,0.0,0,0,0,5014,11,20744,0,0,0,0,1622,1622,11,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
